Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Combat :: Info Death
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*\[Combat\] Info\: (?<source>.*) [hasve]* (?<type>die).*!

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:55 : die        : Vashtur                   :                           :                           :              :              :       
01:41:55 : die        : Vashtur                   :                           :                           :              :              :       
01:41:58 : die        : Priest                    :                           :                           :              :              :       
01:41:58 : die        : Priest                    :                           :                           :              :              :       
01:42:00 : die        : PBAOE                     :                           :                           :              :              :       
01:42:00 : die        : PBAOE                     :                           :                           :              :              :       
01:42:03 : die        : Tupac Shakur              :                           :                           :              :              :       
01:42:03 : die        : Tupac Shakur              :                           :                           :              :              :       
01:42:05 : die        : BigBlackBen               :                           :                           :              :              :       
01:42:05 : die        : Long                      :                           :                           :              :              :       
01:42:05 : die        : Long                      :                           :                           :              :              :       
01:42:06 : die        : Drooley                   :                           :                           :              :              :       
01:42:06 : die        : Drooley                   :                           :                           :              :              :       
01:42:07 : die        : AlbiThere ForYou          :                           :                           :              :              :       
01:42:07 : die        : AlbiThere ForYou          :                           :                           :              :              :       
01:42:07 : die        : Vashteera's Companion     :                           :                           :              :              :       
01:42:14 : die        : DMT                       :                           :                           :              :              :       
01:42:14 : die        : DMT                       :                           :                           :              :              :       
01:42:17 : die        : Guru                      :                           :                           :              :              :       
01:42:17 : die        : Guru                      :                           :                           :              :              :       
01:42:26 : die        : SeeNo Evil                :                           :                           :              :              :       
01:42:26 : die        : SeeNo Evil                :                           :                           :              :              :       
01:42:30 : die        : Dispel Cobra              :                           :                           :              :              :       
01:42:30 : die        : Dispel Cobra              :                           :                           :              :              :       
01:42:30 : die        : LogicNC                   :                           :                           :              :              :       
01:42:31 : die        : Yuckfou                   :                           :                           :              :              :       
01:42:31 : die        : Yuckfou                   :                           :                           :              :              :       
01:42:33 : die        : deez nuts                 :                           :                           :              :              :       
01:42:33 : die        : deez nuts                 :                           :                           :              :              :       
01:42:33 : die        : Bog                       :                           :                           :              :              :       
01:42:34 : die        : First Aid                 :                           :                           :              :              :       
01:42:34 : die        : Fkrah                     :                           :                           :              :              :       
01:42:34 : die        : Fkrah                     :                           :                           :              :              :       
01:42:35 : die        : Noodle                    :                           :                           :              :              :       
01:42:35 : die        : Noodle                    :                           :                           :              :              :       
01:42:42 : die        : Imagine Defense lol       :                           :                           :              :              :       
01:42:43 : die        : Holger                    :                           :                           :              :              :       
01:42:43 : die        : Holger                    :                           :                           :              :              :       
01:42:44 : die        : Hunger                    :                           :                           :              :              :       
01:42:44 : die        : Hunger                    :                           :                           :              :              :       
01:42:45 : die        : Octavius                  :                           :                           :              :              :       
01:42:45 : die        : Octavius                  :                           :                           :              :              :       
01:42:50 : die        : TyyppVee                  :                           :                           :              :              :       
01:42:50 : die        : TyyppVee                  :                           :                           :              :              :       
01:42:50 : die        : Vashteera's Companion     :                           :                           :              :              :       
01:42:52 : die        : Mud Fiend                 :                           :                           :              :              :       
01:42:56 : die        : dnst ' NZSP              :                           :                           :              :              :       
01:42:56 : die        : dnst ' NZSP              :                           :                           :              :              :       
