Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Damage :: Bleed
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) takes? (?<value>\d*) .*(?<source>damage) from (?<type>.*)ing[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:51 : bleed      : damage                    : Octavius                  :                           :              :              : 53    
16:13:52 : bleed      : damage                    : Octavius                  :                           :              :              : 53    
16:13:52 : bleed      : damage                    : TyyppVee                  :                           :              :              : 42    
16:13:53 : bleed      : damage                    : TyyppVee                  :                           :              :              : 34    
16:13:53 : bleed      : damage                    : xinyu                     :                           :              :              : 54    
16:13:53 : bleed      : damage                    : TyyppVee                  :                           :              :              : 42    
16:13:54 : bleed      : damage                    : xinyu                     :                           :              :              : 38    
16:13:54 : bleed      : damage                    : xinyu                     :                           :              :              : 50    
16:13:55 : bleed      : damage                    : xinyu                     :                           :              :              : 17    
16:13:55 : bleed      : damage                    : xinyu                     :                           :              :              : 40    
16:13:56 : bleed      : damage                    : xinyu                     :                           :              :              : 32    
16:13:56 : bleed      : damage                    : xinyu                     :                           :              :              : 51    
16:13:57 : bleed      : damage                    : xinyu                     :                           :              :              : 26    
16:13:57 : bleed      : damage                    : xinyu                     :                           :              :              : 49    
16:13:57 : bleed      : damage                    : xinyu                     :                           :              :              : 56    
16:13:58 : bleed      : damage                    : xinyu                     :                           :              :              : 44    
16:13:58 : bleed      : damage                    : xinyu                     :                           :              :              : 62    
16:14:05 : bleed      : damage                    : Novac the Bellugh Nuathal Priest :                           :              :              : 80    
16:14:22 : bleed      : damage                    : Bambi                     :                           :              :              : 92    
16:14:28 : bleed      : damage                    : Dispel                    :                           :              :              : 30    
16:14:29 : bleed      : damage                    : HuntyPet                  :                           :              :              : 36    
16:14:30 : bleed      : damage                    : HuntyPet                  :                           :              :              : 34    
16:14:39 : bleed      : damage                    : FYasz                     :                           :              :              : 23    
16:14:39 : bleed      : damage                    : FYasz                     :                           :              :              : 51    
16:14:39 : bleed      : damage                    : FYasz                     :                           :              :              : 52    
16:14:40 : bleed      : damage                    : FYasz                     :                           :              :              : 49    
16:14:40 : bleed      : damage                    : FYasz                     :                           :              :              : 48    
16:14:40 : bleed      : damage                    : FYasz                     :                           :              :              : 22    
16:14:40 : bleed      : damage                    : FYasz                     :                           :              :              : 27    
16:14:49 : bleed      : damage                    : Nibenay                   :                           :              :              : 54    
16:14:53 : bleed      : damage                    : Mephistopheles            :                           :              :              : 44    
16:15:51 : bleed      : damage                    : LeiBruc                   :                           :              :              : 34    
16:16:02 : bleed      : damage                    : AlbiThere                 :                           :              :              : 34    
16:16:04 : bleed      : damage                    : Jon                       :                           :              :              : 48    
16:16:04 : bleed      : damage                    : AlbiThere                 :                           :              :              : 49    
16:16:04 : bleed      : damage                    : FYasz                     :                           :              :              : 35    
16:16:04 : bleed      : damage                    : Priest                    :                           :              :              : 52    
16:16:05 : bleed      : damage                    : Jon                       :                           :              :              : 36    
16:16:05 : bleed      : damage                    : FYasz                     :                           :              :              : 14    
16:16:05 : bleed      : damage                    : Priest                    :                           :              :              : 81    
16:16:06 : bleed      : damage                    : Jon                       :                           :              :              : 29    
16:16:06 : bleed      : damage                    : FYasz                     :                           :              :              : 25    
16:16:06 : bleed      : damage                    : Priest                    :                           :              :              : 74    
16:16:06 : bleed      : damage                    : Jon                       :                           :              :              : 44    
16:16:06 : bleed      : damage                    : FYasz                     :                           :              :              : 41    
16:16:07 : bleed      : damage                    : Priest                    :                           :              :              : 71    
16:16:07 : bleed      : damage                    : FYasz                     :                           :              :              : 34    
16:16:07 : bleed      : damage                    : Priest                    :                           :              :              : 203   
16:16:08 : bleed      : damage                    : FYasz                     :                           :              :              : 39    
16:16:08 : bleed      : damage                    : Priest                    :                           :              :              : 85    
16:16:08 : bleed      : damage                    : FYasz                     :                           :              :              : 31    
16:16:08 : bleed      : damage                    : Priest                    :                           :              :              : 57    
16:16:09 : bleed      : damage                    : FYasz                     :                           :              :              : 30    
16:16:09 : bleed      : damage                    : Priest                    :                           :              :              : 75    
16:16:09 : bleed      : damage                    : FYasz                     :                           :              :              : 35    
16:16:09 : bleed      : damage                    : Priest                    :                           :              :              : 50    
16:16:09 : bleed      : damage                    : FYasz                     :                           :              :              : 31    
16:16:09 : bleed      : damage                    : Priest                    :                           :              :              : 65    
16:16:10 : bleed      : damage                    : Priest                    :                           :              :              : 67    
16:16:17 : bleed      : damage                    : Kansas                    :                           :              :              : 47    
16:16:18 : bleed      : damage                    : Kansas                    :                           :              :              : 43    
16:16:18 : bleed      : damage                    : Kansas                    :                           :              :              : 32    
16:16:18 : bleed      : damage                    : Kansas                    :                           :              :              : 56    
16:16:19 : bleed      : damage                    : Kansas                    :                           :              :              : 35    
16:16:19 : bleed      : damage                    : Kansas                    :                           :              :              : 22    
16:16:19 : bleed      : damage                    : Kansas                    :                           :              :              : 36    
16:16:20 : bleed      : damage                    : Kansas                    :                           :              :              : 33    
16:16:26 : bleed      : damage                    : Dispel                    :                           :              :              : 27    
16:16:26 : bleed      : damage                    : lover                     :                           :              :              : 33    
16:16:26 : bleed      : damage                    : Dispel                    :                           :              :              : 23    
16:16:27 : bleed      : damage                    : Dispel                    :                           :              :              : 33    
16:16:27 : bleed      : damage                    : Dispel                    :                           :              :              : 28    
16:16:28 : bleed      : damage                    : Dispel                    :                           :              :              : 30    
16:16:28 : bleed      : damage                    : Dispel                    :                           :              :              : 37    
16:16:29 : bleed      : damage                    : Dispel                    :                           :              :              : 23    
16:16:29 : bleed      : damage                    : Dispel                    :                           :              :              : 35    
16:16:29 : bleed      : damage                    : Dispel                    :                           :              :              : 17    
16:16:29 : bleed      : damage                    : Dispel                    :                           :              :              : 21    
16:16:30 : bleed      : damage                    : Dispel                    :                           :              :              : 18    
16:16:30 : bleed      : damage                    : Dispel                    :                           :              :              : 39    
16:16:30 : bleed      : damage                    : Dispel                    :                           :              :              : 30    
16:16:49 : bleed      : damage                    : iThallia                  :                           :              :              : 28    
16:16:49 : bleed      : damage                    : Pockets                   :                           :              :              : 32    
16:16:49 : bleed      : damage                    : Pockets                   :                           :              :              : 21    
16:16:50 : bleed      : damage                    : Pockets                   :                           :              :              : 12    
16:16:50 : bleed      : damage                    : Pockets                   :                           :              :              : 22    
16:16:51 : bleed      : damage                    : Pockets                   :                           :              :              : 20    
16:16:52 : bleed      : damage                    : Pockets                   :                           :              :              : 16    
16:16:54 : bleed      : damage                    : Rue                       :                           :              :              : 30    
16:16:54 : bleed      : damage                    : Chase                     :                           :              :              : 16    
16:16:55 : bleed      : damage                    : Chase                     :                           :              :              : 17    
16:17:12 : bleed      : damage                    : TyyppVee                  :                           :              :              : 33    
16:17:22 : bleed      : damage                    : TypeVee                   :                           :              :              : 38    
16:17:23 : bleed      : damage                    : TypeVee                   :                           :              :              : 35    
16:17:23 : bleed      : damage                    : TypeVee                   :                           :              :              : 47    
16:17:24 : bleed      : damage                    : TypeVee                   :                           :              :              : 21    
16:17:31 : bleed      : damage                    : Luke                      :                           :              :              : 43    
16:17:32 : bleed      : damage                    : Luke                      :                           :              :              : 31    
16:17:38 : bleed      : damage                    : Que                       :                           :              :              : 24    
16:18:00 : bleed      : damage                    : Hwsz                      :                           :              :              : 49    
16:18:00 : bleed      : damage                    : Hwsz                      :                           :              :              : 47    
16:18:01 : bleed      : damage                    : Hwsz                      :                           :              :              : 42    
16:18:02 : bleed      : damage                    : Hwsz                      :                           :              :              : 62    
16:18:02 : bleed      : damage                    : Hwsz                      :                           :              :              : 20    
16:18:03 : bleed      : damage                    : Hwsz                      :                           :              :              : 38    
16:18:03 : bleed      : damage                    : Hwsz                      :                           :              :              : 33    
16:18:04 : bleed      : damage                    : Hwsz                      :                           :              :              : 52    
16:18:04 : bleed      : damage                    : Bourbon                   :                           :              :              : 25    
16:18:04 : bleed      : damage                    : Hwsz                      :                           :              :              : 53    
16:18:05 : bleed      : damage                    : Bourbon                   :                           :              :              : 50    
16:18:06 : bleed      : damage                    : Bourbon                   :                           :              :              : 37    
16:18:06 : bleed      : damage                    : Hwsz                      :                           :              :              : 42    
16:18:06 : bleed      : damage                    : Bourbon                   :                           :              :              : 23    
16:18:06 : bleed      : damage                    : Hwsz                      :                           :              :              : 35    
