Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Call the Sky's Fury
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<ability>Call the Sky.*) (?<type>.{3,8})s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:52 : shock      : HuntyPet's                : BigBlackBen               : Call the Sky's Fury       :              :              : 478   
01:41:52 : shock      : HuntyPet's                : BigBlackBen               : Call the Sky's Fury       :              :              : 526   
01:41:52 : shock      : Your                      : BigBlackBen               : Call the Sky's Fury       :              :              : 852   
01:41:52 : shock      : Dispel's                  : Long                      : Call the Sky's Fury       :              :              : 503   
01:41:53 : shock      : Dispel's                  : Long                      : Call the Sky's Fury       :              :              : 439   
01:41:54 : shock      : HuntyPet's                : Vashtur                   : Call the Sky's Fury       :              :              : 479   
01:41:54 : shock      : Dispel's                  : Vashtur                   : Call the Sky's Fury       :              :              : 541   
01:41:54 : shock      : HuntyPet's                : Vashtur                   : Call the Sky's Fury       :              :              : 449   
01:41:56 : shock      : Dispel's                  : Priest                    : Call the Sky's Fury       :              :              : 752   
01:41:56 : shock      : HuntyPet's                : AlbiThere                 : Call the Sky's Fury       :              :              : 427   
01:41:57 : shock      : HuntyPet's                : Priest                    : Call the Sky's Fury       :              :              : 1081  
01:41:57 : shock      : Dispel's                  : Priest                    : Call the Sky's Fury       :              :              : 969   
01:41:57 : shock      : HuntyPet's                : Priest                    : Call the Sky's Fury       :              :              : 925   
01:41:57 : shock      : Dispel's                  : Priest                    : Call the Sky's Fury       :              :              : 1089  
01:41:58 : shock      : HuntyPet's                : Priest                    : Call the Sky's Fury       :              :              : 849   
01:41:58 : shock      : Dispel's                  : Priest                    : Call the Sky's Fury       :              :              : 624   
01:41:59 : shock      : Dispel's                  : PBAOE                     : Call the Sky's Fury       :              :              : 916   
01:41:59 : shock      : HuntyPet's                : PBAOE                     : Call the Sky's Fury       :              :              : 932   
01:41:59 : shock      : Your                      : PBAOE                     : Call the Sky's Fury       :              :              : 908   
01:41:59 : shock      : Dispel's                  : PBAOE                     : Call the Sky's Fury       :              :              : 938   
01:42:00 : shock      : HuntyPet's                : PBAOE                     : Call the Sky's Fury       :              :              : 788   
01:42:00 : shock      : Dispel's                  : PBAOE                     : Call the Sky's Fury       :              :              : 832   
01:42:01 : shock      : HuntyPet's                : AlbiThere                 : Call the Sky's Fury       :              :              : 385   
01:42:01 : shock      : Dispel's                  : Tupac                     : Call the Sky's Fury       :              :              : 459   
01:42:02 : shock      : Dispel's                  : Tupac                     : Call the Sky's Fury       :              :              : 542   
01:42:02 : shock      : HuntyPet's                : Tupac                     : Call the Sky's Fury       :              :              : 467   
01:42:02 : shock      : Your                      : Tupac                     : Call the Sky's Fury       :              :              : 210   
01:42:02 : shock      : Dispel's                  : Tupac                     : Call the Sky's Fury       :              :              : 290   
01:42:03 : shock      : Dispel's                  : BigBlackBen               : Call the Sky's Fury       :              :              : 750   
01:42:03 : shock      : HuntyPet's                : BigBlackBen               : Call the Sky's Fury       :              :              : 825   
01:42:04 : shock      : Your                      : BigBlackBen               : Call the Sky's Fury       :              :              : 1160  
01:42:04 : shock      : Dispel's                  : BigBlackBen               : Call the Sky's Fury       :              :              : 1082  
01:42:05 : shock      : Your                      : BigBlackBen               : Call the Sky's Fury       :              :              : 708   
01:42:05 : shock      : HuntyPet's                : Long                      : Call the Sky's Fury       :              :              : 457   
01:42:05 : shock      : Dispel's                  : Drooley                   : Call the Sky's Fury       :              :              : 546   
01:42:05 : shock      : Your                      : Drooley                   : Call the Sky's Fury       :              :              : 425   
01:42:06 : shock      : HuntyPet's                : Drooley                   : Call the Sky's Fury       :              :              : 402   
01:42:06 : shock      : Your                      : Drooley                   : Call the Sky's Fury       :              :              : 537   
01:42:06 : shock      : Dispel's                  : Drooley                   : Call the Sky's Fury       :              :              : 526   
