Version     :: 0.0.11.0
DateTime    :: 11/7/2023 02:23:58 AM
RegExType   :: Damage :: Melee hit
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<type>hit)[s]? (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
02:24:12 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 28    
02:24:13 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 184   
02:24:13 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 139   
02:24:13 : hit        : MalzPL                    : Tavok Chief-brother       :                           :              :              : 35    
02:24:13 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 206   
02:24:13 : hit        : MalzPL                    : Tavok Chief-brother       :                           :              :              : 20    
02:24:13 : hit        : MalzPL                    : Tavok Chief-brother       :                           :              :              : 28    
02:24:13 : hit        : MalzDruid                 : Vorok Mud-Chief           :                           :              :              : 9     
02:24:13 : hit        : MalzPL                    : Tavok Chief-brother       :                           :              :              : 22    
02:24:13 : hit        : MalzDruid                 : Vorok Mud-Chief           :                           :              :              : 8     
02:24:13 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 37    
02:24:13 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 30    
02:24:14 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 41    
02:24:14 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 21    
02:24:14 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 35    
02:24:14 : hit        : MalzDruid                 : Vorok Mud-Chief           :                           :              :              : 27    
02:24:14 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 39    
02:24:14 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 25    
02:24:15 : hit        : MalzSent                  : Moss Ogre                 :                           :              :              : 146   
02:24:15 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 20    
02:24:15 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 24    
02:24:15 : hit        : MalzSent                  : Moss Ogre                 :                           :              :              : 162   
02:24:15 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 28    
02:24:15 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 25    
02:24:15 : hit        : MalzSent                  : Moss Ogre                 :                           :              :              : 161   
