Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Damage :: Proc You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>[The]*) (?<ability>.*) (?<type>.*)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:32 : shock      :                           : sudo                      : YOU Call Storm            :              :              : 218   
16:13:32 : shock      :                           : LogicNC                   : YOU Call Storm            :              :              : 134   
16:13:32 : shock      :                           : Fkrah                     : YOU Call Storm            :              :              : 305   
16:13:32 : shock      :                           : First                     : YOU Call Storm            :              :              : 296   
16:13:32 : shock      :                           : Saas                      : YOU Call Storm            :              :              : 259   
16:13:32 : shock      :                           : HuntyPet                  : YOU Call Storm            :              :              : 219   
16:13:32 : shock      :                           : Bog                       : YOU Call Storm            :              :              : 460   
16:13:32 : shock      :                           : Noodle                    : YOU Call Storm            :              :              : 185   
16:13:32 : shock      :                           : Yuckfou                   : YOU Call Storm            :              :              : 417   
16:13:35 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 647   
16:13:35 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 692   
16:13:35 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 432   
16:13:36 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 487   
16:13:36 : freeze     :                           : LogicNC                   : YOU Fury of Ice           :              :              : 822   
16:13:37 : freeze     :                           : LogicNC                   : YOU Fury of Ice           :              :              : 512   
16:13:37 : freeze     :                           : LogicNC                   : YOU Fury of Ice           :              :              : 652   
16:13:39 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 491   
16:13:40 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 582   
16:13:40 : freeze     :                           : Bog                       : YOU Fury of Ice           :              :              : 657   
16:13:41 : freeze     :                           : First                     : YOU Fury of Ice           :              :              : 481   
16:13:53 : shock      :                           : kosnwa                    : YOU Call Storm            :              :              : 203   
16:13:53 : shock      :                           : CJW                       : YOU Call Storm            :              :              : 296   
16:13:53 : shock      :                           : dnst                      : YOU Call Storm            :              :              : 441   
16:13:54 : shock      :                           : dnst                      : YOU Call Storm            :              :              : 325   
16:13:55 : shock      :                           : CJW                       : YOU Call Storm            :              :              : 591   
16:13:55 : shock      :                           : dnst                      : YOU Call Storm            :              :              : 236   
16:15:01 : freeze     :                           : nvwu                      : YOU Shadow Bolt           :              :              : 185   
16:15:04 : burn       : The                       : SWK                       : fire                      :              :              : 266   
16:15:04 : freeze     :                           : Szmz                      : YOU Shadow Bolt           :              :              : 234   
16:15:04 : burn       : The                       : Szmz                      : fire                      :              :              : 479   
16:15:05 : burn       : The                       : Szmz                      : fire                      :              :              : 438   
16:15:05 : freeze     :                           : Szmz                      : YOU Shadow Bolt           :              :              : 358   
16:15:05 : freeze     :                           : Szmz                      : YOU Shadow Bolt           :              :              : 371   
16:15:08 : freeze     :                           : Breeze                    : YOU Shadow Bolt           :              :              : 226   
16:15:08 : freeze     :                           : JMc                       : YOU Shadow Bolt           :              :              : 54    
16:15:08 : freeze     :                           : JMc                       : YOU Shadow Bolt           :              :              : 82    
16:15:09 : burn       : The                       : JMc                       : fire                      :              :              : 373   
16:15:09 : freeze     :                           : JMc                       : YOU Shadow Bolt           :              :              : 74    
16:15:10 : freeze     :                           : JMc                       : YOU Shadow Bolt           :              :              : 337   
16:15:10 : freeze     :                           : ysmf                      : YOU Shadow Bolt           :              :              : 393   
16:15:11 : freeze     :                           : ysmf                      : YOU Shadow Bolt           :              :              : 338   
16:15:11 : freeze     :                           : ysmf                      : YOU Shadow Bolt           :              :              : 334   
16:15:11 : freeze     :                           : SWK                       : YOU Shadow Bolt           :              :              : 224   
16:15:11 : freeze     :                           : SWK                       : YOU Shadow Bolt           :              :              : 255   
16:15:17 : freeze     :                           : Tibins                    : YOU Shadow Bolt           :              :              : 170   
16:15:17 : freeze     :                           : Tibins                    : YOU Shadow Bolt           :              :              : 204   
