Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:52 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 387   
01:41:52 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 203   
01:41:52 : burn       : Sniper                    : you                       : Incendiary Blast          :              :              : 235   
01:41:52 : burn       : Sniper                    : Saas                      : Incendiary Blast          :              :              : 218   
01:41:52 : hurt       : Miha                      : BigBlackBen               : Dread Dissonance          :              :              : 448   
01:41:52 : smite      : Sax                       : BigBlackBen               : Censure                   :              :              : 444   
01:41:53 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 324   
01:41:53 : burn       : Sniper                    : you                       : Incendiary Blast          :              :              : 112   
01:41:53 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 221   
01:41:53 : burn       : Sniper                    : Saas                      : Incendiary Blast          :              :              : 226   
01:41:53 : strike     : Dispel                    : Long                      : holy weapon               :              :              : 146   
01:41:53 : poison     : lover                     : Vashtur                   : Steal Breath              :              :              : 207   
01:41:54 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 417   
01:41:54 : burn       : Sniper                    : you                       : Incendiary Blast          :              :              : 257   
01:41:54 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 167   
01:41:54 : burn       : Sniper                    : Saas                      : Incendiary Blast          :              :              : 203   
01:41:54 : burn       : Dispel                    : Vashtur                   : fire                      :              :              : 764   
01:41:54 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 117   
01:41:54 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 10    
01:41:54 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 14    
01:41:54 : burn       : Sniper                    : Vashtur                   : Ignite                    :              :              : 633   
01:41:54 : burn       : HuntyPet                  : Vashtur                   : fire                      :              :              : 592   
01:41:54 : freeze     : lover                     : Vashtur                   : Shadow Bolt               :              :              : 315   
01:41:54 : hurt       : Miha                      : Vashtur                   : Dread Dissonance          :              :              : 383   
01:41:54 : poison     : lover                     : Vashtur                   : Steal Breath              :              :              : 156   
01:41:54 : engulf     : lover                     : Vashtur                   : darnkness                 :              :              : 1022  
01:41:55 : burn       : Sniper                    : Vashtur                   : Ignite                    :              :              : 197   
01:41:55 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 427   
01:41:55 : burn       : Sniper                    : you                       : Incendiary Blast          :              :              : 160   
01:41:55 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 364   
01:41:55 : burn       : Sniper                    : Saas                      : Incendiary Blast          :              :              : 235   
01:41:55 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 17    
01:41:55 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 95    
