Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Debuff :: Shadow Mantle
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) [areis]+ (?<type>surround)ed by a (?<source>.*)[\.!]


(01:41:52) Sniper is surrounded by a protective shield.
(01:41:53) lover is surrounded by a protective shield.
(01:41:53) Vashtur is surrounded by a black mantle.
(01:41:57) BigBlackBen is surrounded by a black mantle.
(01:41:59) PBAOE is surrounded by a black mantle.
(01:42:01) Tupac is surrounded by a black mantle.
(01:42:03) Sniper is surrounded by a protective shield.
(01:42:04) BigBlackBen is surrounded by a black mantle.
(01:42:13) Yuckfou is surrounded by a protective shield.
(01:42:13) Guru is surrounded by a mystic shield!
(01:42:13) Guru is surrounded by a protective shield.
(01:42:13) Fkrah is surrounded by a divine shield!
(01:42:13) Bog is surrounded by a protective shield.
(01:42:13) WoundedKnee is surrounded by a mystic shield!
(01:42:13) WoundedKnee is surrounded by a protective shield.
(01:42:13) Fkrah is surrounded by a divine shield!
(01:42:13) WoundedKnee is surrounded by a mystic shield!
(01:42:13) WoundedKnee is surrounded by a protective shield.
(01:42:13) PvPP is surrounded by a protective shield.
(01:42:14) SeeNo is surrounded by a protective shield.
(01:42:15) You are surrounded by a black mantle.
(01:42:15) LogicNC is surrounded by a protective shield.
(01:42:15) Yuckfou is surrounded by a black mantle.
(01:42:15) Sniper is surrounded by a protective shield.
(01:42:16) Yuckfou is surrounded by a protective shield.
(01:42:16) Yuckfou is surrounded by a black mantle.
(01:42:17) LogicNC is surrounded by a protective shield.
(01:42:17) SeeNo is surrounded by a protective shield.
(01:42:18) sudo is surrounded by a black mantle.
(01:42:18) LogicNC is surrounded by a black mantle.
(01:42:19) Sniper is surrounded by a protective shield.
(01:42:19) SeeNo is surrounded by a protective shield.
(01:42:20) deez is surrounded by a black mantle.
(01:42:22) SeeNo is surrounded by a protective shield.
(01:42:22) WoundedKnee is surrounded by a black mantle.
(01:42:23) You are surrounded by a mystic shield!
(01:42:23) Miha is surrounded by a protective shield.
(01:42:23) lover is surrounded by a protective shield.
(01:42:23) Dispel is surrounded by a black mantle.
(01:42:23) Bog is surrounded by a protective shield.
(01:42:24) SeeNo is surrounded by a protective shield.
(01:42:24) Fkrah is surrounded by a divine shield!
(01:42:24) LogicNC is surrounded by a protective shield.
(01:42:24) LogicNC is surrounded by a black mantle.
(01:42:24) Yuckfou is surrounded by a protective shield.
(01:42:24) deez is surrounded by a black mantle.
(01:42:25) SeeNo is surrounded by a black mantle.
(01:42:27) Bog is surrounded by a black mantle.
(01:42:29) Bog is surrounded by a black mantle.
(01:42:31) Sniper is surrounded by a protective shield.
(01:42:32) Noodle is surrounded by a black mantle.
(01:42:33) Bog is surrounded by a black mantle.
(01:42:35) Noodle is surrounded by a black mantle.
(01:42:41) TyyppVee is surrounded by a protective shield.
(01:42:41) Imagine is surrounded by a black mantle.
(01:42:42) Holger is surrounded by a black mantle.
(01:42:43) Hunger is surrounded by a black mantle.
(01:42:44) kosnwa is surrounded by a protective shield.
(01:42:44) Octavius is surrounded by a black mantle.
(01:42:45) TyyppVee is surrounded by a protective shield.
