Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Debuff :: Shadow Mantle
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) [areis]+ (?<type>surround)ed by a (?<source>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:12:58 : surround   : protective shield         : Sniper                    :                           :              :              :       
16:12:59 : surround   : protective shield         : lover                     :                           :              :              :       
16:13:00 : surround   : black mantle              : Vashtur                   :                           :              :              :       
16:13:03 : surround   : black mantle              : BigBlackBen               :                           :              :              :       
16:13:05 : surround   : black mantle              : PBAOE                     :                           :              :              :       
16:13:08 : surround   : black mantle              : Tupac                     :                           :              :              :       
16:13:09 : surround   : protective shield         : Sniper                    :                           :              :              :       
16:13:10 : surround   : black mantle              : BigBlackBen               :                           :              :              :       
16:13:19 : surround   : protective shield         : Yuckfou                   :                           :              :              :       
16:13:19 : surround   : mystic shield             : Guru                      :                           :              :              :       
16:13:19 : surround   : protective shield         : Guru                      :                           :              :              :       
16:13:19 : surround   : divine shield             : Fkrah                     :                           :              :              :       
16:13:19 : surround   : protective shield         : Bog                       :                           :              :              :       
16:13:19 : surround   : mystic shield             : WoundedKnee               :                           :              :              :       
16:13:19 : surround   : protective shield         : WoundedKnee               :                           :              :              :       
16:13:19 : surround   : divine shield             : Fkrah                     :                           :              :              :       
16:13:20 : surround   : mystic shield             : WoundedKnee               :                           :              :              :       
16:13:20 : surround   : protective shield         : WoundedKnee               :                           :              :              :       
16:13:20 : surround   : protective shield         : PvPP                      :                           :              :              :       
16:13:21 : surround   : protective shield         : SeeNo                     :                           :              :              :       
16:13:21 : surround   : black mantle              : YOU                       :                           :              :              :       
16:13:21 : surround   : protective shield         : LogicNC                   :                           :              :              :       
16:13:21 : surround   : black mantle              : Yuckfou                   :                           :              :              :       
16:13:22 : surround   : protective shield         : Sniper                    :                           :              :              :       
