Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Drain :: Backstab
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*?) (?<type>.*?)[e]?[s]? (?<value>\d*) points of (?<event_type>.*?)\W?damage from (?<source>\w*)[r']?[s]? (?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:21 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 158   
16:13:21 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 152   
16:13:22 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 166   
16:13:22 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 134   
16:13:23 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 139   
16:13:23 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 154   
16:13:24 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 117   
16:13:27 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 195   
16:13:27 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 172   
16:13:28 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 154   
16:13:29 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 134   
16:13:29 : suffer     : Fkrah                     : Sniper                    : poison                    :              :              : 157   
16:13:32 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 185   
16:13:32 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 142   
16:13:33 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 183   
16:13:33 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 163   
16:13:34 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 143   
16:13:34 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 126   
16:13:35 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 148   
16:13:35 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 156   
16:13:36 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 158   
16:13:36 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 155   
16:13:36 : suffer     : Fkrah                     : Dispel                    : poison                    :              :              : 126   
16:13:36 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 183   
16:13:37 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 186   
16:13:37 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 164   
16:13:38 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 145   
16:13:38 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 169   
16:13:39 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 175   
16:13:39 : suffer     : Fkrah                     : YOU                       : poison                    :              :              : 151   
16:13:39 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 131   
16:13:40 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 141   
16:13:40 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 113   
16:13:40 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 174   
16:13:41 : suffer     : Fkrah                     : lover                     : poison                    :              :              : 66    
16:13:41 : suffer     : SOMEONE                   : lover                     : poison                    :              :              : 82    
16:13:42 : suffer     : SOMEONE                   : lover                     : poison                    :              :              : 82    
16:13:42 : suffer     : SOMEONE                   : lover                     : poison                    :              :              : 73    
16:13:42 : suffer     : SOMEONE                   : lover                     : poison                    :              :              : 75    
16:14:11 : suffer     : Rain                      : TyyppVee                  : poison                    :              :              : 228   
16:14:11 : suffer     : Rain                      : Rain                      : poison                    :              :              : 15    
16:14:11 : suffer     : Rain                      : TyyppVee                  : poison                    :              :              : 20    
16:14:11 : suffer     : Rain                      : TyyppVee                  : poison                    :              :              : 48    
16:14:11 : suffer     : wreck                     : YOU                       : poison                    :              :              : 175   
16:14:11 : suffer     : wreck                     : wreck                     : poison                    :              :              : 16    
16:14:11 : suffer     : wreck                     : YOU                       : poison                    :              :              : 22    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 192   
16:14:12 : suffer     : wreck                     : wreck                     : poison                    :              :              : 16    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 21    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 143   
16:14:12 : suffer     : wreck                     : wreck                     : poison                    :              :              : 17    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 22    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 158   
16:14:12 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:12 : suffer     : wreck                     : YOU                       : poison                    :              :              : 20    
16:14:12 : suffer     : SOMEONE                   : TyyppVee                  : poison                    :              :              : 12    
16:14:13 : suffer     : wreck                     : YOU                       : poison                    :              :              : 221   
