Version     :: 0.0.9.8
DateTime    :: 11/6/2023 08:27:49 AM
RegExType   :: Evade :: Block You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) (?<type>block)[s]? (?<source>.*)'s .*[\.!]
(08:28:04) Kansus blocks POOPCUMPISS's attack.
(08:28:04) ShiftyInc blocks Sax's attack.
(08:28:04) ShiftyInc blocks typeW's attack.
(08:28:04) ShiftyInc blocks Sithranis Silantaar's attack.
(08:28:04) Kansus blocks Priest's attack.
(08:28:04) ShiftyInc blocks Sauce's attack.
(08:28:04) ShiftyInc blocks Rokaw's attack.
(08:28:04) ShiftyInc blocks DRChuckalot's attack.
(08:28:04) Kansus blocks BlackSele's attack.
(08:28:04) ShiftyInc blocks pippo's attack.
(08:28:05) ShiftyInc blocks Jaz's attack.
(08:28:05) ShiftyInc blocks Sithranis Silantaar's attack.
(08:28:05) ShiftyInc blocks pippo's attack.
(08:28:05) ShiftyInc blocks Sauce's attack.
(08:28:05) Bourbon blocks chs's attack.
(08:28:05) ShiftyInc blocks Rokaw's attack.
(08:28:05) ShiftyInc blocks DRChuckalot's attack.
(08:28:05) ShiftyInc blocks Sauce's attack.
(08:28:05) ShiftyInc blocks Sax's attack.
(08:28:05) ShiftyInc blocks Jaz's attack.
(08:28:05) ShiftyInc blocks typeW's attack.
(08:28:06) ShiftyInc blocks Ninja's attack.
(08:28:06) Bourbon blocks chs's attack.
(08:28:06) Rokaw blocks POOPCUMPISS's attack.
(08:28:06) Ninja blocks Priest's attack.
(08:28:06) Ninja blocks Priest's attack.
(08:28:07) Ninja blocks Priest's attack.
(08:28:07) Ninja blocks Priest's attack.
(08:28:07) Rokaw blocks POOPCUMPISS's attack.
(08:28:07) Rokaw blocks POOPCUMPISS's attack.
(08:28:07) Bourbon blocks chs's attack.
(08:28:07) Ninja blocks Priest's attack.
(08:28:07) ShiftyInc blocks typeW's attack.
(08:28:07) ShiftyInc blocks Rokaw's attack.
(08:28:08) ShiftyInc blocks DRChuckalot's attack.
(08:28:08) ShiftyInc blocks pippo's attack.
(08:28:08) ShiftyInc blocks pippo's attack.
(08:28:08) ShiftyInc blocks DRChuckalot's attack.
(08:28:09) ShiftyInc blocks Sauce's attack.
(08:28:09) ShiftyInc blocks Ninja's attack.
(08:28:09) ShiftyInc blocks typeW's attack.
(08:28:09) ShiftyInc blocks Rokaw's attack.
(08:28:09) ShiftyInc blocks Ninja's attack.
(08:28:09) ShiftyInc blocks DRChuckalot's attack.
(08:28:09) ShiftyInc blocks pippo's attack.
(08:28:09) ShiftyInc blocks Sauce's attack.
(08:28:09) ShiftyInc blocks Jaz's attack.
(08:28:10) Rokaw blocks POOPCUMPISS's attack.
(08:28:10) ShiftyInc blocks Jaz's attack.
(08:28:10) Rokaw blocks POOPCUMPISS's attack.
(08:28:10) ShiftyInc blocks Jaz's attack.
(08:28:11) Rokaw blocks POOPCUMPISS's attack.
(08:28:11) Rokaw blocks POOPCUMPISS's attack.
(08:28:11) DRChuckalot blocks ChopSuey's attack.
(08:28:12) DRChuckalot blocks ChopSuey's attack.
(08:28:12) DRChuckalot blocks ChopSuey's attack.
(08:28:12) Rokaw blocks POOPCUMPISS's attack.
(08:28:12) Rokaw blocks POOPCUMPISS's attack.
(08:28:12) DRChuckalot blocks ChopSuey's attack.
(08:28:13) DRChuckalot blocks ChopSuey's attack.
(08:28:13) DRChuckalot blocks BroYogi's attack.
(08:28:13) WillPowder blocks Ninja's attack.
(08:28:13) DRChuckalot blocks ChopSuey's attack.
