Version     :: 0.0.11.0
DateTime    :: 11/7/2023 02:23:58 AM
RegExType   :: Evade :: Miss Melee
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*) (?<type>miss)[es]* (?<target>.*)[\.!]


(02:24:12) The Moss Ogre misses YOU!
(02:24:12) The Moss Ogre misses MalzPL.
(02:24:13) The Tavok Chief-brother misses YOU!
(02:24:13) The Tavok Chief-brother misses MalzPL.
(02:24:13) The Vorok Mud-Chief misses MalzPL.
(02:24:13) The Vorok Mud-Chief misses MalzDruid.
(02:24:13) The Tavok Chief-brother misses MalzPL.
(02:24:13) The Moss Ogre misses MalzDruid.
(02:24:13) MalzDruid misses the Moss Ogre.
(02:24:14) The Moss Ogre misses MalzDruid.
(02:24:14) The Vorok Mud-Chief misses MalzDruid.
(02:24:14) MalzSent misses the Moss Ogre.
(02:24:15) The Mud Ogre misses MalzSent.
(02:24:15) The Moss Ogre misses MalzDruid.
(02:24:15) The Mud Ogre misses MalzSent.
(02:24:15) The Moss Ogre misses MalzPL.
(02:24:16) The Moss Ogre misses MalzDruid.
(02:24:16) The Moss Ogre misses YOU!
(02:24:16) The Vorok Mud-Chief misses MalzSent.
(02:24:16) The Vorok Mud-Chief misses MalzPL.
(02:24:16) The Moss Ogre misses MalzPL.
(02:24:17) The Moss Ogre misses MalzDruid.
(02:24:17) The Moss Ogre misses MalzPL.
(02:24:17) The Moss Ogre misses MalzSent.
(02:24:17) The Mud Ogre misses MalzSent.
(02:24:18) The Moss Ogre misses MalzDruid.
(02:24:18) The Moss Ogre misses MalzPL.
(02:24:18) The Moss Ogre misses MalzPL.
(02:24:18) The Vorok Mud-Chief misses MalzSent.
(02:24:19) The Mud Ogre misses MalzSent.
(02:24:19) The Moss Ogre misses MalzPL.
(02:24:19) The Mud Ogre misses MalzPL.
(02:24:19) The Mud Ogre misses MalzDruid.
(02:24:19) The Moss Ogre misses MalzPL.
(02:24:19) The Tavok Chief-brother misses YOU!
(02:24:19) The Vorok Mud-Chief misses MalzDruid.
(02:24:20) The Tavok Chief-brother misses YOU!
(02:24:20) The Mud Ogre misses MalzDruid.
(02:24:20) The Moss Ogre misses MalzPL.
(02:24:20) The Moss Ogre misses MalzPL.
(02:24:20) The Mud Ogre misses MalzPL.
(02:24:20) The Mud Ogre misses MalzSent.
(02:24:21) The Moss Ogre misses MalzPL.
(02:24:21) MalzPL misses the Moss Ogre.
(02:24:21) The Moss Ogre misses MalzDruid.
(02:24:21) The Vorok Mud-Chief misses MalzSent.
(02:24:22) The Moss Ogre misses YOU!
(02:24:22) The Mud Ogre misses MalzPL.
(02:24:22) The Moss Ogre misses MalzDruid.
(02:24:22) The Moss Ogre misses MalzDruid.
(02:24:22) The Mud Ogre misses MalzSent.
(02:24:22) MalzSent misses the Mud Ogre.
(02:24:22) MalzPL misses the Mud Ogre.
(02:24:23) The Moss Ogre misses MalzDruid.
(02:24:24) The Moss Ogre misses MalzDruid.
(02:24:24) The Moss Ogre misses MalzPL.
(02:24:24) The Moss Ogre misses MalzDruid.
(02:24:25) The Mud Ogre misses MalzDruid.
(02:24:25) The Mud Ogre misses MalzPL.
(02:24:25) The Mud Ogre misses MalzDruid.
(02:24:26) The Moss Ogre misses MalzPL.
(02:24:26) MalzDruid misses the Mud Ogre.
(02:24:26) The Moss Ogre misses MalzSent.
(02:24:26) MalzSent misses the Moss Ogre.
(02:24:26) The Moss Ogre misses MalzSent.
(02:24:26) The Vorok Mud-Chief misses YOU!
(02:24:26) The Vorok Mud-Chief misses YOU!
(02:24:26) The Mud Ogre misses YOU!
(02:24:27) The Moss Ogre misses MalzSent.
(02:24:27) The Mud Ogre misses MalzPL.
(02:24:27) The Mud Ogre misses MalzDruid.
(02:24:27) The Moss Ogre misses MalzSent.
(02:24:28) The Moss Ogre misses MalzSent.
(02:24:28) The Vorok Mud-Chief misses MalzSent.
(02:24:28) The Mud Ogre misses YOU!
(02:24:29) The Moss Ogre misses MalzPL.
(02:24:29) The Moss Ogre misses MalzDruid.
(02:24:29) The Moss Ogre misses MalzPL.
(02:24:29) The Moss Ogre misses MalzDruid.
(02:24:30) The Vorok Mud-Chief misses YOU!
(02:24:30) The Moss Ogre misses MalzPL.
(02:24:30) The Mud Ogre misses MalzDruid.
(02:24:30) The Moss Ogre misses MalzSent.
(02:24:31) The Tavok Chief-brother misses YOU!
(02:24:31) The Tavok Chief-brother misses MalzPL.
(02:24:31) The Moss Ogre misses YOU!
(02:24:31) The Mud Ogre misses MalzDruid.
(02:24:31) The Moss Ogre misses YOU!
(02:24:31) The Moss Ogre misses MalzDruid.
(02:24:31) MalzDruid misses the Moss Ogre.
(02:24:32) The Moss Ogre misses MalzDruid.
(02:24:32) The Moss Ogre misses MalzDruid.
(02:24:32) The Mud Ogre misses MalzSent.
(02:24:32) The Moss Ogre misses MalzSent.
(02:24:32) The Moss Ogre misses MalzDruid.
(02:24:32) The Moss Ogre misses MalzPL.
(02:24:33) The Mud Ogre misses MalzPL.
(02:24:33) MalzDruid misses the Mud Ogre.
(02:24:33) The Moss Ogre misses MalzSent.
(02:24:33) The Vorok Mud-Chief misses MalzDruid.
