Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Evade :: Miss Melee
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*) (?<type>miss)[es]* (?<target>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:51 : miss       : HuntyPet Cobra            : BigBlackBen               :                           :              :              :       
01:41:52 : miss       : Miha                      : BigBlackBen               :                           :              :              :       
01:41:52 : miss       : HuntyPet Cobra            : Vashtur                   :                           :              :              :       
01:41:53 : miss       : AlbiThere ForYou          : YOU                       :                           :              :              :       
01:41:53 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:53 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:53 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:53 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:54 : miss       : Vashtur                   : Vashteera's Companion     :                           :              :              :       
01:41:55 : miss       : Dispel Cobra              : Vashtur                   :                           :              :              :       
01:41:56 : miss       : PBAOE                     : YOU                       :                           :              :              :       
01:41:56 : miss       : BigBlackBen               : lover                     :                           :              :              :       
01:41:56 : miss       : BigBlackBen               : lover                     :                           :              :              :       
01:41:56 : miss       : Vashteera's Companion     : Tupac Shakur              :                           :              :              :       
01:41:56 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:56 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:56 : miss       : HuntyPet Cobra            : Priest                    :                           :              :              :       
01:41:57 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:57 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:57 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:57 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:57 : miss       : WillPowder                : Sax                       :                           :              :              :       
01:41:57 : miss       : Sax                       : BigBlackBen               :                           :              :              :       
01:41:57 : miss       : PBAOE                     : YOU                       :                           :              :              :       
01:41:57 : miss       : HuntyPet Cobra            : Priest                    :                           :              :              :       
01:41:58 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:58 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:41:58 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:58 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:41:59 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:42:00 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:42:00 : miss       : Tupac Shakur              : YOU                       :                           :              :              :       
01:42:00 : miss       : BigBlackBen               : lover                     :                           :              :              :       
01:42:00 : miss       : Tupac Shakur              : Saas y                    :                           :              :              :       
01:42:00 : miss       : Tupac Shakur              : Saas y                    :                           :              :              :       
01:42:00 : miss       : AlbiThere ForYou          : YOU                       :                           :              :              :       
01:42:00 : miss       : Tupac Shakur              : Saas y                    :                           :              :              :       
01:42:00 : miss       : HuntyPet Cobra            : Long                      :                           :              :              :       
01:42:01 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:01 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:01 : miss       : AlbiThere ForYou          : YOU                       :                           :              :              :       
01:42:01 : miss       : AlbiThere ForYou          : YOU                       :                           :              :              :       
01:42:01 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:01 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:01 : miss       : BigBlackBen               : lover                     :                           :              :              :       
01:42:01 : miss       : lover                     : Tupac Shakur              :                           :              :              :       
01:42:01 : miss       : lover                     : Tupac Shakur              :                           :              :              :       
01:42:01 : miss       : Miha                      : Tupac Shakur              :                           :              :              :       
01:42:01 : miss       : lover                     : Tupac Shakur              :                           :              :              :       
01:42:02 : miss       : Tupac Shakur              : lover                     :                           :              :              :       
01:42:02 : miss       : Tupac Shakur              : lover                     :                           :              :              :       
01:42:02 : miss       : Dispel Cobra              : Tupac Shakur              :                           :              :              :       
01:42:02 : miss       : HuntyPet Cobra            : Tupac Shakur              :                           :              :              :       
01:42:02 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:02 : miss       : Tupac Shakur              : Vashteera's Companion     :                           :              :              :       
01:42:03 : miss       : AlbiThere ForYou          : lover                     :                           :              :              :       
01:42:03 : miss       : Vashteera's Companion     : Sax                       :                           :              :              :       
01:42:03 : miss       : lover                     : BigBlackBen               :                           :              :              :       
01:42:04 : miss       : BigBlackBen               : lover                     :                           :              :              :       
01:42:05 : miss       : lover                     : Long                      :                           :              :              :       
01:42:05 : miss       : lover                     : Long                      :                           :              :              :       
01:42:05 : miss       : lover                     : Drooley                   :                           :              :              :       
01:42:05 : miss       : lover                     : Drooley                   :                           :              :              :       
01:42:05 : miss       : Dispel Cobra              : Drooley                   :                           :              :              :       
01:42:05 : miss       : lover                     : Drooley                   :                           :              :              :       
01:42:05 : miss       : HuntyPet Cobra            : Drooley                   :                           :              :              :       
01:42:06 : miss       : lover                     : Drooley                   :                           :              :              :       
01:42:06 : miss       : Sax                       : AlbiThere ForYou          :                           :              :              :       
01:42:06 : miss       : Miha                      : Drooley                   :                           :              :              :       
01:42:06 : miss       : Drooley                   : Vashteera's Companion     :                           :              :              :       
01:42:14 : miss       : HuntyPet Cobra            : DMT                       :                           :              :              :       
01:42:15 : miss       : lover                     : Yuckfou                   :                           :              :              :       
01:42:15 : miss       : HuntyPet Cobra            : Fkrah                     :                           :              :              :       
01:42:17 : miss       : deez nuts                 : LogicNC                   :                           :              :              :       
01:42:19 : miss       : Miha                      : LogicNC                   :                           :              :              :       
01:42:20 : miss       : HuntyPet Cobra            : deez nuts                 :                           :              :              :       
01:42:22 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:22 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:23 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:23 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:23 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:23 : miss       : WoundedKnee               : Vashteera's Companion     :                           :              :              :       
01:42:24 : miss       : lover                     : SeeNo Evil                :                           :              :              :       
01:42:25 : miss       : lover                     : SeeNo Evil                :                           :              :              :       
01:42:26 : miss       : Miha                      : SeeNo Evil                :                           :              :              :       
01:42:27 : miss       : Miha                      : Bog                       :                           :              :              :       
01:42:27 : miss       : lover                     : Bog                       :                           :              :              :       
01:42:28 : miss       : HuntyPet Cobra            : Bog                       :                           :              :              :       
01:42:29 : miss       : lover                     : Bog                       :                           :              :              :       
01:42:29 : miss       : HuntyPet Cobra            : Bog                       :                           :              :              :       
01:42:29 : miss       : lover                     : Bog                       :                           :              :              :       
01:42:30 : miss       : lover                     : Fkrah                     :                           :              :              :       
01:42:31 : miss       : Vashteera's Thrall        : Yuckfou                   :                           :              :              :       
01:42:31 : miss       : Miha                      : Yuckfou                   :                           :              :              :       
01:42:32 : miss       : Bog                       : Vashteera's Thrall        :                           :              :              :       
01:42:32 : miss       : HuntyPet Cobra            : Bog                       :                           :              :              :       
01:42:33 : miss       : Bog                       : Vashteera's Thrall        :                           :              :              :       
01:42:33 : miss       : Bog                       : Vashteera's Thrall        :                           :              :              :       
01:42:33 : miss       : lover                     : Bog                       :                           :              :              :       
01:42:33 : miss       : Bog                       : Vashteera's Thrall        :                           :              :              :       
01:42:33 : miss       : lover                     : Bog                       :                           :              :              :       
01:42:34 : miss       : lover                     : Fkrah                     :                           :              :              :       
01:42:34 : miss       : Miha                      : Fkrah                     :                           :              :              :       
01:42:34 : miss       : Sax                       : Noodle                    :                           :              :              :       
01:42:35 : miss       : Sax                       : Noodle                    :                           :              :              :       
01:42:41 : miss       : HuntyPet Cobra            : Imagine Defense lol       :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : TyyppVee                  : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : TyyppVee                  : Octavius                  :                           :              :              :       
01:42:44 : miss       : Dispel Cobra              : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : Octavius                  : YOU                       :                           :              :              :       
01:42:44 : miss       : TyyppVee                  : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : TyyppVee                  : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
01:42:44 : miss       : TyyppVee                  : Octavius                  :                           :              :              :       
01:42:45 : miss       : HuntyPet Cobra            : Octavius                  :                           :              :              :       
