Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Heal :: CatchAll
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']?[s]? (?<ability>.*) (?<type>heal)s (?<target>.*) for (?<value>\d*) points[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : Drooley                   : BigBlackBen               : Prayer of Recovery        :              :              : 306   
16:12:56 : heal       : Drooley                   : Vashtur                   : Prayer of Recovery        :              :              : 276   
16:12:56 : heal       : Drooley                   : PBAOE                     : Prayer of Recovery        :              :              : 312   
16:12:56 : heal       : Drooley                   : AlbiThere                 : Prayer of Recovery        :              :              : 348   
16:12:56 : heal       : Drooley                   : Tupac                     : Prayer of Recovery        :              :              : 271   
16:12:56 : heal       : Drooley                   : Priest                    : Prayer of Recovery        :              :              : 236   
16:12:56 : heal       : Drooley                   : Drooley                   : Prayer of Recovery        :              :              : 231   
16:12:56 : heal       : Drooley                   : WillPowder                : Prayer of Recovery        :              :              : 279   
16:12:56 : heal       : Drooley                   : Long                      : Prayer of Recovery        :              :              : 321   
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:56 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:56 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : Drooley                   : BigBlackBen               : Prayer of Recovery        :              :              : 265   
16:12:57 : heal       : Drooley                   : Vashtur                   : Prayer of Recovery        :              :              : 245   
16:12:57 : heal       : Drooley                   : PBAOE                     : Prayer of Recovery        :              :              : 267   
16:12:57 : heal       : Drooley                   : Priest                    : Prayer of Recovery        :              :              : 310   
16:12:57 : heal       : Drooley                   : Tupac                     : Prayer of Recovery        :              :              : 250   
16:12:57 : heal       : Drooley                   : AlbiThere                 : Prayer of Recovery        :              :              : 334   
16:12:57 : heal       : Drooley                   : WillPowder                : Prayer of Recovery        :              :              : 224   
16:12:57 : heal       : Drooley                   : Long                      : Prayer of Recovery        :              :              : 350   
16:12:57 : heal       : Drooley                   : Drooley                   : Prayer of Recovery        :              :              : 264   
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : Long                      : BigBlackBen               : Prayer of Recovery        :              :              : 187   
16:12:57 : heal       : Long                      : Vashtur                   : Prayer of Recovery        :              :              : 252   
16:12:57 : heal       : Long                      : PBAOE                     : Prayer of Recovery        :              :              : 253   
16:12:57 : heal       : Long                      : AlbiThere                 : Prayer of Recovery        :              :              : 203   
16:12:57 : heal       : Long                      : Tupac                     : Prayer of Recovery        :              :              : 272   
16:12:57 : heal       : Long                      : Priest                    : Prayer of Recovery        :              :              : 192   
16:12:57 : heal       : Long                      : Drooley                   : Prayer of Recovery        :              :              : 213   
16:12:57 : heal       : Long                      : WillPowder                : Prayer of Recovery        :              :              : 247   
16:12:57 : heal       : Long                      : Long                      : Prayer of Recovery        :              :              : 191   
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : Drooley                   : BigBlackBen               : Prayer of Recovery        :              :              : 300   
16:12:57 : heal       : Drooley                   : Vashtur                   : Prayer of Recovery        :              :              : 218   
16:12:57 : heal       : Drooley                   : PBAOE                     : Prayer of Recovery        :              :              : 264   
16:12:57 : heal       : Drooley                   : Priest                    : Prayer of Recovery        :              :              : 248   
16:12:57 : heal       : Drooley                   : Tupac                     : Prayer of Recovery        :              :              : 280   
16:12:57 : heal       : Drooley                   : AlbiThere                 : Prayer of Recovery        :              :              : 209   
16:12:57 : heal       : Drooley                   : Drooley                   : Prayer of Recovery        :              :              : 232   
16:12:57 : heal       : Drooley                   : WillPowder                : Prayer of Recovery        :              :              : 255   
16:12:57 : heal       : Drooley                   : Long                      : Prayer of Recovery        :              :              : 225   
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : Drooley                   : Long                      : Divine Recovery           :              :              : 203   
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
16:12:57 : heal       : Vashtur                   : Vashtur                   : Sublimation of Garlic     :              :              : 94    
16:12:57 : heal       : Drooley                   : Vashtur                   : Prayer of Recovery        :              :              : 287   
16:12:57 : heal       : Drooley                   : BigBlackBen               : Prayer of Recovery        :              :              : 317   
16:12:57 : heal       : Drooley                   : PBAOE                     : Prayer of Recovery        :              :              : 259   
16:12:57 : heal       : Drooley                   : Tupac                     : Prayer of Recovery        :              :              : 288   
16:12:57 : heal       : Drooley                   : AlbiThere                 : Prayer of Recovery        :              :              : 280   
16:12:57 : heal       : Drooley                   : Priest                    : Prayer of Recovery        :              :              : 290   
16:12:57 : heal       : Drooley                   : Long                      : Prayer of Recovery        :              :              : 229   
16:12:57 : heal       : Drooley                   : WillPowder                : Prayer of Recovery        :              :              : 308   
16:12:57 : heal       : Drooley                   : Drooley                   : Prayer of Recovery        :              :              : 312   
16:12:58 : heal       : BigBlackBen               : BigBlackBen               : Sublimation of Garlic     :              :              : 83    
