Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Power :: Assume
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?) (?<type>assume)s? [\Wa]?(?<ability>.*)[\.!]


(16:12:56) PBAOE assumes a new shape.
(16:12:56) AlbiThere assumes a new shape.
(16:12:56) Priest assumes a new shape.
(16:12:57) Saas assumes Offensive Stance.
(16:12:57) sudo assumes Offensive Stance.
(16:12:57) lover assumes Offensive Stance.
(16:13:00) AlbiThere assumes Offensive Stance.
(16:13:02) BigBlackBen assumes a new shape.
(16:13:04) lover assumes Defensive Stance.
(16:13:08) lover assumes Offensive Stance.
(16:13:13) sudo assumes Precise Stance.
(16:13:13) HuntyPet assumes Prospecting Stance.
(16:13:13) Sax assumes Defensive Stance.
(16:13:20) WoundedKnee assumes Precise Stance.
(16:13:21) Guru assumes Offensive Stance.
(16:13:21) WoundedKnee assumes Offensive Stance.
(16:13:21) lover assumes Defensive Stance.
(16:13:22) WoundedKnee assumes Defensive Stance.
(16:13:23) Guru assumes Precise Stance.
(16:13:23) Guru assumes Defensive Stance.
(16:13:27) sudo assumes Offensive Stance.
(16:13:27) WoundedKnee assumes Precise Stance.
(16:13:29) Sniper assumes Defensive Stance.
(16:13:29) WoundedKnee assumes Defensive Stance.
(16:13:29) lover assumes Offensive Stance.
(16:13:30) YOU assume Offensive Stance.
(16:13:30) YOU assume Offensive Stance.
(16:13:31) deez assumes Defensive Stance.
(16:13:32) deez assumes Offensive Stance.
(16:13:33) Bourbon assumes Offensive Stance.
(16:13:35) First assumes Offensive Stance.
(16:13:36) LogicNC assumes Offensive Stance.
(16:13:36) Saas assumes Offensive Stance.
(16:13:36) LogicNC assumes Defensive Stance.
(16:13:37) deez assumes Defensive Stance.
(16:13:38) Bourbon assumes Offensive Stance.
(16:13:38) deez assumes Offensive Stance.
(16:13:42) YOU assume Offensive Stance.
(16:13:48) YOU assume Offensive Stance.
(16:13:48) Octavius assumes a new shape.
(16:13:49) Rylix assumes Offensive Stance.
(16:13:52) sudo assumes Offensive Stance.
(16:13:52) xinyu assumes Defensive Stance.
(16:13:54) dnst assumes a new shape.
(16:13:58) YOU assume Offensive Stance.
(16:13:58) Dispel assumes Precise Stance.
(16:13:58) sudo assumes Offensive Stance.
(16:13:59) YOU assume Offensive Stance.
(16:13:59) HuntyPet assumes Defensive Stance.
(16:13:59) Dispel assumes Precise Stance.
(16:13:59) dnst assumes a new shape.
(16:14:00) HuntyPet assumes Offensive Stance.
(16:14:01) YOU assume Offensive Stance.
(16:14:01) dnst assumes a new shape.
(16:14:01) sudo assumes Offensive Stance.
(16:14:03) YOU assume Offensive Stance.
(16:14:04) YOU assume Offensive Stance.
(16:14:04) Dispel assumes Precise Stance.
(16:14:04) Dispel assumes Offensive Stance.
(16:14:05) sudo assumes Offensive Stance.
(16:14:06) sudo assumes Offensive Stance.
(16:14:06) TyyppVee assumes Offensive Stance.
(16:14:06) HuntyPet assumes Defensive Stance.
(16:14:07) HuntyPet assumes Offensive Stance.
(16:14:08) YOU assume Offensive Stance.
(16:14:08) TyyppVee assumes Offensive Stance.
(16:14:09) sudo assumes Offensive Stance.
(16:14:09) Dispel assumes Offensive Stance.
(16:14:10) wreck assumes Offensive Stance.
(16:14:11) blackgurl assumes Defensive Stance.
(16:14:12) Bambi assumes Offensive Stance.
(16:14:16) TyyppVee assumes Offensive Stance.
(16:14:16) HuntyPet assumes Defensive Stance.
(16:14:16) YOU assume Offensive Stance.
(16:14:17) HuntyPet assumes Offensive Stance.
(16:14:17) Dispel assumes Offensive Stance.
(16:14:17) HuntyPet assumes Offensive Stance.
(16:14:17) Dispel assumes a new shape.
(16:14:17) Dispel assumes a new shape.
(16:14:18) HuntyPet assumes Prospecting Stance.
(16:14:19) HuntyPet assumes Offensive Stance.
(16:14:19) Dispel assumes Precise Stance.
(16:14:19) TyyppVee assumes Offensive Stance.
(16:14:19) sudo assumes Offensive Stance.
(16:14:19) Dispel assumes Offensive Stance.
(16:14:19) sudo assumes Offensive Stance.
(16:14:20) Rain assumes Defensive Stance.
(16:14:23) Rain assumes Offensive Stance.
(16:14:24) blackgurl assumes Defensive Stance.
(16:14:25) kwx assumes Defensive Stance.
(16:14:25) Rain assumes Defensive Stance.
(16:14:26) KSlater assumes Offensive Stance.
(16:14:28) YOU assume Offensive Stance.
(16:14:28) TyyppVee assumes Precise Stance.
(16:14:29) HuntyPet assumes Prospecting Stance.
(16:14:29) sudo assumes Precise Stance.
(16:14:29) sudo assumes Offensive Stance.
(16:14:29) YOU assume Precise Stance.
(16:14:30) Dispel assumes Prospecting Stance.
(16:14:30) Dispel assumes Prospecting Stance.
(16:14:30) HuntyPet assumes Offensive Stance.
(16:14:30) TyyppVee assumes Offensive Stance.
(16:14:31) Dispel assumes Precise Stance.
(16:14:38) TyyppVee assumes Offensive Stance.
(16:14:40) Dispel assumes Precise Stance.
(16:14:42) TyyppVee assumes Offensive Stance.
(16:14:42) HuntyPet assumes Defensive Stance.
(16:14:42) sudo assumes Offensive Stance.
(16:14:43) HuntyPet assumes Offensive Stance.
(16:14:49) CloudA assumes Offensive Stance.
(16:14:49) DayWalker assumes Offensive Stance.
(16:14:49) TyypeVee assumes Offensive Stance.
(16:14:51) CloudA assumes Defensive Stance.
(16:14:52) Ninja assumes Offensive Stance.
(16:14:54) CloudA assumes Offensive Stance.
(16:15:03) champagne assumes Defensive Stance.
(16:15:10) tickles assumes Offensive Stance.
(16:15:13) tickles assumes Offensive Stance.
(16:15:13) Sax assumes Offensive Stance.
(16:15:15) Moony assumes Defensive Stance.
(16:15:15) champagne assumes Defensive Stance.
(16:15:16) Prodriver assumes a new shape.
(16:15:17) Prodriver assumes a new shape.
(16:15:18) YOU assume Defensive Stance.
(16:15:21) YOU assume Offensive Stance.
(16:15:21) YOU assume Precise Stance.
(16:15:22) tickles assumes Offensive Stance.
(16:15:22) Uther assumes Offensive Stance.
(16:15:25) CloudA assumes Precise Stance.
(16:15:25) CloudA assumes Offensive Stance.
(16:15:26) Uther assumes Offensive Stance.
(16:15:32) LDSU assumes Offensive Stance.
(16:15:33) Sax assumes Offensive Stance.
(16:15:35) Sasss assumes Offensive Stance.
(16:15:35) YEP assumes Offensive Stance.
(16:15:37) yunT assumes Offensive Stance.
(16:15:37) XJY assumes Defensive Stance.
(16:15:37) EarthZS assumes Offensive Stance.
(16:15:38) XJY assumes Offensive Stance.
(16:15:38) FYms assumes Offensive Stance.
(16:15:38) xxOxx assumes Offensive Stance.
(16:15:38) eka assumes Offensive Stance.
(16:15:41) yunT assumes Offensive Stance.
(16:15:43) FYms assumes Offensive Stance.
(16:15:45) First assumes Offensive Stance.
(16:15:46) xxOxx assumes a new shape.
(16:15:47) EarthZS assumes Defensive Stance.
(16:15:47) YEP assumes Offensive Stance.
(16:15:47) EarthZS assumes Offensive Stance.
(16:15:49) YOU assume Precise Stance.
(16:15:49) FYms assumes Offensive Stance.
