Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Power :: Execute-prepare
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?) (?<event_type>prepare) to (?<type>execute)s? [\Wa]*(?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:14:49 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:14:49 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:14:49 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:14:50 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:14:51 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:14:51 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:14:51 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:14:51 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:14:52 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:14:52 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:14:53 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:14:53 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:14:53 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:14:54 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:14:54 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:14:54 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:15:32 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:32 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:15:33 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:15:33 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:15:34 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:15:34 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:15:34 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:15:35 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:15:35 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:15:35 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:35 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:15:36 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:15:39 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:40 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:15:44 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:45 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:15:46 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:15:46 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:15:47 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:15:47 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:15:48 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:55 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:15:55 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:15:55 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:15:56 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:15:56 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:03 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:03 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:04 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:04 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:07 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:08 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:08 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:08 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:09 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:09 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:09 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:17:10 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:10 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:17:10 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:11 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:11 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:12 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:12 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:12 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:12 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:13 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:13 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:17:13 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:14 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:17:15 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:16 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:16 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:16 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:17 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:17 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:18 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:18 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:17:18 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:19 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:20 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:20 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:21 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:21 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:22 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:22 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:17:23 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:23 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:25 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:17:25 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:26 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:26 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:27 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
