Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Power :: Execute
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?) (?<type>execute)s? [\Wa]?(?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:51 : execute    : HuntyPet                  :                           : Eagle's Aim               :              :              :       
01:41:52 : execute    : PBAOE                     :                           : Grounding Shot            :              :              :       
01:41:52 : execute    : Vashtur                   :                           : Painful Cut               :              :              :       
01:41:53 : execute    : AlbiThere                 :                           : Rakish Jab                :              :              :       
01:41:53 : execute    : Priest                    :                           : Thunderstrike             :              :              :       
01:41:53 : execute    : PBAOE                     :                           : Vargr's Fangs             :              :              :       
01:41:53 : execute    : Vashtur                   :                           : Eviscerate                :              :              :       
01:41:53 : execute    : AlbiThere                 :                           : Heart Seeker              :              :              :       
01:41:53 : execute    : Priest                    :                           : Nerve Strike              :              :              :       
01:41:53 : execute    : Tupac                     :                           : Ride the Whirlwind        :              :              :       
01:41:53 : execute    : Vashtur                   :                           : Gut Wrencher              :              :              :       
01:41:54 : execute    : Priest                    :                           : Iron Claws                :              :              :       
01:41:55 : execute    : AlbiThere                 :                           : Vargr's Fangs             :              :              :       
01:41:55 : execute    : AlbiThere                 :                           : Dread Howl                :              :              :       
01:41:55 : execute    : Tupac                     :                           : Dance of the Flames       :              :              :       
01:41:55 : execute    : AlbiThere                 :                           : Grimtooth                 :              :              :       
01:41:55 : execute    : Priest                    :                           : Vargr's Fangs             :              :              :       
01:41:55 : execute    : PBAOE                     :                           : Dread Howl                :              :              :       
01:41:55 : execute    : BigBlackBen               :                           : Sword of Saint Malorn     :              :              :       
01:41:56 : execute    : AlbiThere                 :                           : Murderer's Kiss           :              :              :       
01:41:56 : execute    : BigBlackBen               :                           : Gut Wrencher              :              :              :       
01:41:56 : execute    : Priest                    :                           : Crane Technique           :              :              :       
01:41:56 : execute    : Tupac                     :                           : Press the Foe             :              :              :       
01:41:56 : execute    : BigBlackBen               :                           : Red Blade                 :              :              :       
01:41:56 : execute    : BigBlackBen               :                           : Painful Cut               :              :              :       
01:41:56 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:41:56 : execute    : BigBlackBen               :                           : Press the Foe             :              :              :       
01:41:57 : execute    : BigBlackBen               :                           : Cross Cut                 :              :              :       
01:41:57 : execute    : PBAOE                     :                           : Grounding Shot            :              :              :       
01:41:57 : execute    : WillPowder                :                           : Smash                     :              :              :       
01:41:58 : execute    : WillPowder                :                           : Circle Swing              :              :              :       
01:41:58 : execute    : Priest                    :                           : Thunderstrike             :              :              :       
01:41:58 : execute    : AlbiThere                 :                           : Heart Seeker              :              :              :       
01:41:58 : execute    : PBAOE                     :                           : Vargr's Fangs             :              :              :       
01:41:58 : execute    : AlbiThere                 :                           : Bloody Slice              :              :              :       
01:41:58 : execute    : BigBlackBen               :                           : Vivisection               :              :              :       
01:41:58 : execute    : BigBlackBen               :                           : Sword of Saint Malorn     :              :              :       
01:41:58 : execute    : PBAOE                     :                           : Dread Howl                :              :              :       
01:41:59 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:41:59 : execute    : BigBlackBen               :                           : Gut Wrencher              :              :              :       
01:42:00 : execute    : HuntyPet                  :                           : Kenaryn's Mark            :              :              :       
01:42:00 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:42:00 : execute    : AlbiThere                 :                           : Rakish Jab                :              :              :       
01:42:00 : execute    : Tupac                     :                           : Ride the Whirlwind        :              :              :       
01:42:01 : execute    : AlbiThere                 :                           : Heart Seeker              :              :              :       
01:42:01 : execute    : AlbiThere                 :                           : Pommel Strike             :              :              :       
01:42:02 : execute    : BigBlackBen               :                           : Sword of Saint Malorn     :              :              :       
01:42:02 : execute    : AlbiThere                 :                           : Grimtooth                 :              :              :       
01:42:02 : execute    : BigBlackBen               :                           : Gut Wrencher              :              :              :       
01:42:02 : execute    : AlbiThere                 :                           : Dread Howl                :              :              :       
01:42:03 : execute    : BigBlackBen               :                           : Press the Foe             :              :              :       
01:42:03 : execute    : AlbiThere                 :                           : Rakish Jab                :              :              :       
01:42:03 : execute    : HuntyPet                  :                           : Kenaryn's Mark            :              :              :       
01:42:03 : execute    : BigBlackBen               :                           : Red Blade                 :              :              :       
01:42:03 : execute    : AlbiThere                 :                           : Bloody Slice              :              :              :       
01:42:04 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:42:04 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:04 : execute    : BigBlackBen               :                           : Painful Cut               :              :              :       
01:42:04 : execute    : BigBlackBen               :                           : Cross Cut                 :              :              :       
01:42:04 : execute    : BigBlackBen               :                           : Vivisection               :              :              :       
01:42:05 : execute    : HuntyPet                  :                           : Wicked Barb               :              :              :       
01:42:05 : execute    : AlbiThere                 :                           : Rakish Jab                :              :              :       
01:42:05 : execute    : Sax                       :                           : Smash                     :              :              :       
01:42:06 : execute    : Miha                      :                           : Eagle's Aim               :              :              :       
01:42:06 : execute    : AlbiThere                 :                           : Heart Seeker              :              :              :       
01:42:06 : execute    : Sax                       :                           : Circle Swing              :              :              :       
01:42:06 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:42:06 : execute    : Sax                       :                           : Shield Ringer             :              :              :       
01:42:14 : execute    : HuntyPet                  :                           : Kenaryn's Mark            :              :              :       
01:42:21 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:26 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:29 : execute    : Miha                      :                           : Eagle's Aim               :              :              :       
01:42:31 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:32 : execute    : Sax                       :                           : Smash                     :              :              :       
01:42:34 : execute    : Sax                       :                           : Smash                     :              :              :       
01:42:35 : execute    : HuntyPet                  :                           : Kenaryn's Mark            :              :              :       
01:42:35 : execute    : Sax                       :                           : Circle Swing              :              :              :       
01:42:36 : execute    : Sax                       :                           : Shield Ringer             :              :              :       
01:42:41 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:42 : execute    : Holger                    :                           : Painful Cut               :              :              :       
01:42:42 : execute    : Octavius                  :                           : Kenaryn's Mark            :              :              :       
01:42:42 : execute    : TyyppVee                  :                           : Kenaryn's Mark            :              :              :       
01:42:42 : execute    : Octavius                  :                           : Grounding Shot            :              :              :       
01:42:42 : execute    : Octavius                  :                           : Wicked Barb               :              :              :       
01:42:42 : execute    : Holger                    :                           : Press the Foe             :              :              :       
01:42:42 : execute    : Octavius                  :                           : Hornet's Sting            :              :              :       
01:42:42 : execute    : HuntyPet                  :                           : Wyvern's Sting            :              :              :       
01:42:42 : execute    : Octavius                  :                           : Eagle's Aim               :              :              :       
01:42:42 : execute    : HuntyPet                  :                           : Wicked Barb               :              :              :       
01:42:42 : execute    : TyyppVee                  :                           : Wicked Barb               :              :              :       
01:42:43 : execute    : Octavius                  :                           : Thirsty Arrow             :              :              :       
01:42:43 : execute    : TyyppVee                  :                           : Grounding Shot            :              :              :       
01:42:43 : execute    : TyyppVee                  :                           : Shot to the Leg           :              :              :       
01:42:43 : execute    : Octavius                  :                           : Wyvern's Sting            :              :              :       
01:42:43 : execute    : Octavius                  :                           : Kenaryn's Mark            :              :              :       
01:42:44 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:42:44 : execute    : Octavius                  :                           : Wicked Barb               :              :              :       
01:42:44 : execute    : Octavius                  :                           : Shot to the Leg           :              :              :       
01:42:44 : execute    : Dispel                    :                           : Wyvern's Sting            :              :              :       
01:42:44 : execute    : TyyppVee                  :                           : Kenaryn's Mark            :              :              :       
01:42:44 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:42:44 : execute    : HuntyPet                  :                           : Wicked Barb               :              :              :       
01:42:44 : execute    : Octavius                  :                           : Grounding Shot            :              :              :       
01:42:44 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:42:44 : execute    : HuntyPet                  :                           : Wyvern's Sting            :              :              :       
01:42:45 : execute    : Octavius                  :                           : Rat-Lord's Guile          :              :              :       
01:42:45 : execute    : Octavius                  :                           : Skree'ekt's Teeth         :              :              :       
01:42:45 : execute    : HuntyPet                  :                           : Kenaryn's Mark            :              :              :       
01:42:45 : execute    : xinyu                     :                           : Kenaryn's Mark            :              :              :       
