Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Power :: Taunt
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*\[Combat\] Info\: (?<target>.*) (?<type>[atck]*)s? (?<source>.*)

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:57 : tt         : has died!                 : kosnwa                    :                           :              :              :       
16:13:57 : tt         : has died!                 : kosnwa                    :                           :              :              :       
16:16:24 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:16:24 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:17:58 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:17:58 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:18:02 :            : BH has died!              : NnAF |                    :                           :              :              :       
16:18:02 :            : BH has died!              : NnAF |                    :                           :              :              :       
16:18:18 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:18:19 :            : BH has died!              : TOKR �                   :                           :              :              :       
16:18:50 : cc         : has died!                 : xlxlll                    :                           :              :              :       
16:18:52 : cc         : has died!                 : xllxl                     :                           :              :              :       
16:18:52 : cc         : has died!                 : xllxl                     :                           :              :              :       
16:19:08 :            : TARGET has died!          : GAI �                     :                           :              :              :       
16:19:08 :            : TARGET has died!          : GAI �                     :                           :              :              :       
16:19:10 :            : JLSD has died!            : Fnc $                    :                           :              :              :       
16:19:10 :            : JLSD has died!            : Fnc $                    :                           :              :              :       
16:19:36 : cc         : has died!                 : xllxl                     :                           :              :              :       
16:19:36 : cc         : has died!                 : xllxl                     :                           :              :              :       
16:21:47 :            : MorDor has died!          : mybjT }�                  :                           :              :              :       
16:21:47 :            : MorDor has died!          : mybjT }�                  :                           :              :              :       
16:21:52 :            : TARGET has died!          : GAI �                     :                           :              :              :       
16:21:52 :            : TARGET has died!          : GAI �                     :                           :              :              :       
16:23:10 : a          : level!                    : YOU have gained           :                           :              :              :       
16:23:16 : a          : level!                    : YOU have gained           :                           :              :              :       
